city_id,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,taywarah,33.35,64.42,63.23,29,0,20.04,AF,1595256651
88,norman wells,65.28,-126.83,55.4,93,75,2.24,CA,1595256488
89,marzuq,14.4,46.47,86.81,32,88,6.76,YE,1595256651
90,ancud,-41.87,-73.82,46.4,100,90,3.36,CL,1595256651
91,vila franca do campo,37.72,-25.43,75.2,57,75,10.29,PT,1595256652
92,chhachhrauli,30.25,77.37,80.37,73,100,4.07,IN,1595256652
93,eldorado,-23.79,-54.28,75.94,45,3,9.55,BR,1595256652
94,cape town,-33.93,18.42,66.99,48,0,6.93,ZA,1595256447
95,puri,19.8,85.85,84.2,89,40,10.29,IN,1595256653
96,turukhansk,65.82,87.98,58.57,72,17,6.15,RU,1595256653
97,barrow,71.29,-156.79,35.6,95,90,11.41,US,1595256653
98,doha,25.29,51.53,102.0,53,17,6.93,QA,1595256384
99,provideniya,64.38,-173.3,45.97,74,76,3.91,RU,1595256653
100,san cristobal,7.77,-72.22,80.6,74,40,5.82,VE,1595256654
101,chuy,-33.7,-53.46,71.24,74,85,8.93,UY,1595256654
102,lompoc,34.64,-120.46,57.2,87,51,5.82,US,1595256617
103,klyuchi,52.27,79.17,76.57,54,0,6.11,RU,1595256654
104,steinbach,50.17,8.57,88.0,36,28,5.82,DE,1595256654
105,cagliari,39.24,9.09,93.2,51,20,12.75,IT,1595256654
106,birin,26.89,88.07,62.56,100,100,1.07,NP,1595256655
107,buchanan,5.88,-10.05,80.6,88,75,11.41,LR,1595256655
108,carnarvon,-24.87,113.63,57.2,82,0,8.05,AU,1595256583
109,bolu,40.67,31.58,72.91,68,59,6.49,TR,1595256655
110,tombouctou,20.0,-3.0,105.37,18,19,3.06,ML,1595256656
111,lazo,43.38,133.9,66.63,88,100,2.57,RU,1595256656
112,batticaloa,7.71,81.69,84.07,75,100,2.3,LK,1595256656
113,conceicao do araguaia,-8.26,-49.26,86.0,42,78,11.41,BR,1595256656
114,kaitangata,-46.28,169.85,50.0,66,100,4.0,NZ,1595256656
115,geraldton,-28.77,114.6,50.0,76,0,5.82,AU,1595256377
116,new norfolk,-42.78,147.06,45.0,89,95,2.8,AU,1595256657
117,margate,51.38,1.39,73.0,51,86,3.0,GB,1595256657
118,krasnoselkup,65.7,82.47,60.19,64,42,10.85,RU,1595256657
119,half moon bay,37.46,-122.43,62.01,93,90,4.7,US,1595256657
120,nikolskoye,59.7,30.79,78.8,44,20,6.71,RU,1595256658
121,ust-nera,64.57,143.2,61.11,56,17,4.68,RU,1595256658
122,qaqortoq,60.72,-46.03,66.2,39,20,2.24,GL,1595256658
123,najran,17.49,44.13,91.4,43,75,8.05,SA,1595256659
124,krasnorechenskiy,44.63,135.35,60.31,93,100,4.36,RU,1595256659
125,georgetown,5.41,100.34,82.4,100,40,8.05,MY,1595256408
126,sitka,57.05,-135.33,57.2,93,90,10.29,US,1595256659
127,tonj,7.27,28.68,77.77,79,84,1.86,SS,1595256659
128,beringovskiy,63.05,179.32,43.74,83,0,9.1,RU,1595256659
129,saldanha,-33.01,17.94,73.4,49,0,4.7,ZA,1595256484
130,raudeberg,61.99,5.14,59.0,62,40,12.75,NO,1595256660
131,mar del plata,-38.0,-57.56,53.6,100,90,11.41,AR,1595256510
132,ribeira grande,38.52,-28.7,75.2,60,75,6.93,PT,1595256660
133,bredasdorp,-34.53,20.04,64.4,72,40,5.82,ZA,1595256660
134,makakilo city,21.35,-158.09,80.6,65,75,17.05,US,1595256661
135,kolpashevo,58.31,82.91,61.09,93,0,8.93,RU,1595256661
136,buin,-33.73,-70.75,50.0,93,20,4.7,CL,1595256661
137,olafsvik,64.89,-23.71,50.59,69,14,2.84,IS,1595256661
138,zhangye,38.93,100.45,78.67,18,94,1.59,CN,1595256604
139,esperance,-33.87,121.9,51.8,76,90,6.93,AU,1595256662
140,khatanga,71.97,102.5,53.58,71,22,6.73,RU,1595256662
141,inhambane,-23.86,35.38,73.4,64,40,13.87,MZ,1595256662
142,ust-ishim,57.69,71.17,62.53,66,77,7.9,RU,1595256663
143,huambo,-12.78,15.74,78.04,18,0,2.59,AO,1595256663
144,rapid valley,44.06,-103.15,72.0,82,20,4.7,US,1595256663
145,walvis bay,-22.96,14.51,91.4,9,0,6.93,NA,1595256663
146,tynaarlo,53.08,6.62,66.99,55,75,10.29,NL,1595256664
147,columbus,39.96,-83.0,84.99,78,75,4.7,US,1595256596
148,camocim,-2.9,-40.84,88.81,49,30,10.22,BR,1595256664
149,dicabisagan,17.08,122.42,80.19,80,26,1.83,PH,1595256665
150,ambulu,-8.35,113.61,75.43,88,67,4.52,ID,1595256665
151,hofn,64.25,-15.21,55.4,58,40,11.41,IS,1595256665
152,saint anthony,45.02,-93.22,73.0,60,1,3.13,US,1595256665
153,ormara,25.21,64.64,85.93,83,60,21.9,PK,1595256665
154,college,64.86,-147.8,57.2,82,40,3.36,US,1595256666
155,zhigansk,66.77,123.37,60.64,94,100,7.65,RU,1595256666
156,airai,-8.93,125.41,55.53,100,27,2.15,TL,1595256666
157,nadym,65.53,72.52,62.49,59,98,8.55,RU,1595256666
158,zaysan,47.47,84.87,77.5,40,100,9.31,KZ,1595256667
159,dzaoudzi,-12.79,45.27,77.0,69,90,10.29,YT,1595256667
160,thompson,55.74,-97.86,68.0,60,40,3.36,CA,1595256515
161,sao joao da barra,-21.64,-41.05,78.8,57,40,6.93,BR,1595256667
162,muroto,33.28,134.15,79.48,89,100,8.21,JP,1595256668
163,suluq,31.67,20.25,87.37,39,0,25.1,LY,1595256668
